CurrencyID;Date;ExchangeRate;NormExchangeRate
USD;19.03.2024;3,9866;-0,224
CHF;19.03.2024;4,4886;1,6026
EUR;19.03.2024;4,3201;0,7246
GBP;19.03.2024;5,0516;0,9287
JPY;19.03.2024;0,026455;1,3529
USD;20.03.2024;3,9895;-0,1597
CHF;20.03.2024;4,4771;1,3503
EUR;20.03.2024;4,3242;0,8991
GBP;20.03.2024;5,0635;1,3429
JPY;20.03.2024;0,026301;0,4901
USD;21.03.2024;3,9431;-1,1885
CHF;21.03.2024;4,4069;-0,1894
EUR;21.03.2024;4,3031;0,0007
GBP;21.03.2024;5,0367;0,4101
JPY;21.03.2024;0,026098;-0,6472
USD;22.03.2024;3,9928;-0,0866
CHF;22.03.2024;4,4337;0,3984
EUR;22.03.2024;4,3186;0,6607
GBP;22.03.2024;5,0257;0,0273
JPY;22.03.2024;0,026334;0,675
USD;25.03.2024;3,9833;-0,2972
CHF;25.03.2024;4,4371;0,473
EUR;25.03.2024;4,3091;0,2562
GBP;25.03.2024;5,0246;-0,011
JPY;25.03.2024;0,026309;0,5349
USD;26.03.2024;3,9704;-0,5832
CHF;26.03.2024;4,4047;-0,2377
EUR;26.03.2024;4,3093;0,2647
GBP;26.03.2024;5,0243;-0,0214
JPY;26.03.2024;0,026247;0,1876
USD;27.03.2024;3,9857;-0,244
CHF;27.03.2024;4,4018;-0,3013
EUR;27.03.2024;4,3153;0,5202
GBP;27.03.2024;5,0327;0,2709
JPY;27.03.2024;0,026347;0,7478
USD;28.03.2024;4,0081;0,2527
CHF;28.03.2024;4,4228;0,1593
EUR;28.03.2024;4,3191;0,682
GBP;28.03.2024;5,0474;0,7826
JPY;28.03.2024;0,026472;1,4482
USD;29.03.2024;3,9886;-0,1797
CHF;29.03.2024;4,425;0,2076
EUR;29.03.2024;4,3009;-0,093
GBP;29.03.2024;5,03;0,177
JPY;29.03.2024;0,026366;0,8543
USD;02.04.2024;4,0009;0,093
CHF;02.04.2024;4,4037;-0,2596
EUR;02.04.2024;4,2934;-0,4124
GBP;02.04.2024;5,0256;0,0238
JPY;02.04.2024;0,026384;0,9551
USD;03.04.2024;3,9843;-0,275
CHF;03.04.2024;4,3875;-0,6149
EUR;03.04.2024;4,2923;-0,4592
GBP;03.04.2024;5,0117;-0,46
JPY;03.04.2024;0,026262;0,2716
USD;04.04.2024;3,9515;-1,0022
CHF;04.04.2024;4,3621;-1,1721
EUR;04.04.2024;4,2921;-0,4677
GBP;04.04.2024;5,0042;-0,721
JPY;04.04.2024;0,026045;-0,9441
USD;05.04.2024;3,9571;-0,8781
CHF;05.04.2024;4,3796;-0,7882
EUR;05.04.2024;4,2883;-0,6295
GBP;05.04.2024;5,0003;-0,8568
JPY;05.04.2024;0,026133;-0,4511
USD;08.04.2024;3,9546;-0,9335
CHF;08.04.2024;4,3667;-1,0712
EUR;08.04.2024;4,2805;-0,9617
GBP;08.04.2024;4,9915;-1,1631
JPY;08.04.2024;0,026035;-1,0002
USD;09.04.2024;3,9223;-1,6497
CHF;09.04.2024;4,3366;-1,7314
EUR;09.04.2024;4,2588;-1,8857
GBP;09.04.2024;4,966;-2,0506
JPY;09.04.2024;0,025823;-2,1879
USD;10.04.2024;3,9264;-1,5588
CHF;10.04.2024;4,3447;-1,5537
EUR;10.04.2024;4,2641;-1,66
GBP;10.04.2024;4,9843;-1,4137
JPY;10.04.2024;0,025856;-2,003
USD;11.04.2024;3,9707;-0,5766
CHF;11.04.2024;4,3451;-1,5449
EUR;11.04.2024;4,2649;-1,6259
GBP;11.04.2024;4,9835;-1,4415
JPY;11.04.2024;0,025911;-1,6949
USD;12.04.2024;3,9983;0,0354
CHF;12.04.2024;4,3805;-0,7685
EUR;12.04.2024;4,2666;-1,5535
GBP;12.04.2024;5,0007;-0,8428
JPY;12.04.2024;0,02608;-0,7481
USD;15.04.2024;4,0209;0,5365
CHF;15.04.2024;4,4047;-0,2377
EUR;15.04.2024;4,2851;-0,7658
GBP;15.04.2024;5,0192;-0,1989
JPY;15.04.2024;0,026134;-0,4455
USD;16.04.2024;4,0687;1,5963
CHF;16.04.2024;4,4554;0,8744
EUR;16.04.2024;4,3197;0,7075
GBP;16.04.2024;5,0609;1,2524
JPY;16.04.2024;0,026335;0,6806
USD;17.04.2024;4,0741;1,716
CHF;17.04.2024;4,4777;1,3635
EUR;17.04.2024;4,3353;1,3718
GBP;17.04.2024;5,0812;1,959
JPY;17.04.2024;0,026359;0,8151
USD;18.04.2024;4,0559;1,3125
CHF;18.04.2024;4,4637;1,0564
EUR;18.04.2024;4,3309;1,1844
GBP;18.04.2024;5,0589;1,1828
JPY;18.04.2024;0,026274;0,3388
USD;19.04.2024;4,0688;1,5985
CHF;19.04.2024;4,4787;1,3854
EUR;19.04.2024;4,3316;1,2142
GBP;19.04.2024;5,0615;1,2733
JPY;19.04.2024;0,02635;0,7646
USD;22.04.2024;4,054;1,2703
CHF;22.04.2024;4,4505;0,7669
EUR;22.04.2024;4,3203;0,7331
GBP;22.04.2024;5,0131;-0,4113
JPY;22.04.2024;0,026202;-0,0645
USD;23.04.2024;4,061;1,4255
CHF;23.04.2024;4,4535;0,8327
EUR;23.04.2024;4,3335;1,2951
GBP;23.04.2024;5,0238;-0,0388
JPY;23.04.2024;0,026226;0,0699
