ID Firmy,firma,lokalizacja
1,Be in IT,brak informacji
2,Scalo Sp. z o.o.,brak informacji
3,JellyTech,brak informacji
4,7N Sp. z o.o.,brak informacji
5,Mindbox S.A.,brak informacji
6,Novaris Sp. z o.o.,brak informacji
7,Harvey Nash Technology Sp. z o.o.,brak informacji
8,Xebia sp. z o.o.,brak informacji
9,ITDS Polska Sp. z o.o.,brak informacji
10,summ-it s.a.,brak informacji
11,Fusion Practices,brak informacji
12,Zone IT Sp. z o.o.,brak informacji
13,P&P Solutions Sp. z o.o.,brak informacji
14,dmt Software House Sp. z o.o.,brak informacji
15,Jit Team sp. z o.o.,brak informacji
16,J-LABS sp. z o.o.,brak informacji
17,Addepto,"Addepto, 20, Antoniego Józefa Madalińskiego, Osiedle WSM Mokotów, Stary Mokotów, Mokotów, Warszawa, województwo mazowieckie, 02-513, Polska"
18,SYSTEM VERIFICATION POLAND sp. z o.o.,brak informacji
19,ACAISOFT POLAND Sp. z o.o.,brak informacji
